,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
64,APPLES FROZEN UNSWEETENED UNHEATED,86.85,48,0.28,0.32,0.24,12.31,1.3,10.1,4.0,0.18,3.0,8.0,77.0,3.0,0.05,0.058,0.169,0.2,0.1,0.013,0.011,0.042,0.054,0.034,1.0,0.0,1.0,1.0,,0.0,34.0,,0.0,,,,,,,0.0,0.0,,0.053,0.013,0.095,0.0,173.0,"1 cup, slices",,,0.0
65,APPLES MOIST SULFURED STEWED,79.36,74,0.28,0.12,0.33,19.91,2.6,,4.0,0.43,5.0,12.0,136.0,26.0,0.06,0.058,0.027,0.4,0.6,0.008,0.029,0.14,0.08,0.054,0.0,0.0,0.0,0.0,,0.0,19.0,1.0,0.0,,,,,,,0.0,0.0,,0.02,0.005,0.036,0.0,193.0,1 cup,,,0.0
66,APPLES MOIST SULFURED UNCOOKED,3.0,346,1.32,0.58,1.57,93.53,12.4,81.13,19.0,2.0,22.0,55.0,640.0,124.0,0.29,0.271,0.128,1.8,2.2,0.046,0.13,0.68,0.432,0.28,1.0,0.0,1.0,1.0,23.1,0.0,81.0,4.0,0.0,0.0,35.0,27.0,0.0,25.0,0.75,0.0,0.0,4.3,0.095,0.024,0.171,0.0,60.0,1 cup,,,0.0
67,APPLES RAW FUJI SKIN,84.16,63,0.2,0.18,0.24,15.22,2.1,11.68,7.0,0.1,5.0,13.0,109.0,1.0,0.04,0.025,0.031,0.0,,0.013,0.026,0.07,0.051,0.045,3.0,,3.0,,3.4,,38.0,2.0,,0.0,17.0,11.0,0.0,11.0,0.18,,,1.0,,,,,109.0,"1 cup, sliced",236.0,1 large,11.0
68,APPLES RAW GALA SKIN,85.76,57,0.25,0.12,0.2,13.68,2.3,10.37,7.0,0.12,5.0,11.0,108.0,1.0,0.05,0.021,0.037,0.0,,0.017,0.029,0.075,0.055,0.049,3.0,,3.0,,3.4,,28.0,1.0,,0.0,11.0,11.0,0.0,11.0,0.18,,,1.3,,,,,109.0,"1 cup, sliced",200.0,1 large,9.0
69,APPLES RAW GOLDEN DELICIOUS SKIN,85.81,57,0.28,0.15,0.16,13.6,2.4,10.04,6.0,0.13,5.0,10.0,100.0,2.0,0.04,0.03,0.035,0.0,,0.018,0.026,0.094,0.074,0.051,3.0,,3.0,,5.1,,51.0,3.0,,0.0,25.0,12.0,0.0,28.0,0.18,,,1.8,,,,,109.0,"1 cup, sliced",215.0,1 large,10.0
70,APPLES RAW GRANNY SMITH SKIN,85.46,58,0.44,0.19,0.29,13.61,2.8,9.59,5.0,0.15,5.0,12.0,120.0,1.0,0.04,0.031,0.044,0.1,,0.019,0.025,0.126,0.056,0.037,3.0,,3.0,,3.4,,100.0,5.0,,0.0,59.0,2.0,0.0,64.0,0.18,,,3.2,,,,,109.0,"1 cup, sliced",206.0,1 large,11.0
71,APPLES RAW REDUCED DELICIOUS SKIN,85.33,59,0.27,0.2,0.14,14.06,2.3,10.48,6.0,0.11,5.0,12.0,104.0,1.0,0.04,0.027,0.034,0.0,,0.015,0.025,0.075,0.051,0.034,3.0,,3.0,,3.4,,55.0,3.0,,0.0,27.0,12.0,0.0,31.0,0.24,,,2.6,,,,,109.0,"1 cup, sliced",260.0,1 large,11.0
72,APPLES RAW SKIN,85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6.0,0.12,5.0,11.0,107.0,1.0,0.04,0.027,0.035,0.0,4.6,0.017,0.026,0.091,0.061,0.041,3.0,0.0,3.0,3.0,3.4,0.0,54.0,3.0,0.0,0.0,27.0,11.0,0.0,29.0,0.18,0.0,0.0,2.2,0.028,0.007,0.051,0.0,125.0,"1 cup, quartered or chopped",109.0,"1 cup, slices",10.0
73,APPLES RAW SKIN COOKED BOILED,85.47,53,0.26,0.36,0.28,13.64,2.4,11.01,5.0,0.19,3.0,8.0,88.0,1.0,0.04,0.035,0.118,0.3,0.2,0.016,0.012,0.095,0.046,0.044,1.0,0.0,1.0,1.0,3.4,0.0,44.0,2.0,0.0,0.0,19.0,14.0,0.0,19.0,0.05,0.0,0.0,0.6,0.058,0.014,0.104,0.0,171.0,"1 cup, slices",,,0.0
74,APPLES RAW SKIN COOKED MICROWAVE,84.63,56,0.28,0.42,0.26,14.41,2.8,11.61,5.0,0.17,3.0,8.0,93.0,1.0,0.04,0.046,0.142,0.3,0.3,0.017,0.011,0.061,0.046,0.046,1.0,0.0,1.0,1.0,3.4,0.0,40.0,2.0,0.0,0.0,17.0,13.0,0.0,21.0,0.05,0.0,0.0,0.7,0.068,0.017,0.122,0.0,170.0,"1 cup, slices",,,0.0
75,APPLESAUCE CANNED SWEETENED SALT,79.58,76,0.18,0.18,0.14,19.91,1.2,,4.0,0.35,3.0,7.0,61.0,28.0,0.04,0.043,0.075,0.3,1.7,0.013,0.028,0.188,0.052,0.026,1.0,0.0,1.0,1.0,,0.0,11.0,1.0,0.0,,,,,,,0.0,0.0,,0.03,0.007,0.054,0.0,255.0,1 cup,,,0.0
76,APPLESAUCE CANNED SWEETENED USDA COMMODITY,81.98,68,0.16,0.17,0.21,17.49,1.2,14.67,3.0,0.12,3.0,6.0,75.0,2.0,0.03,0.032,0.03,0.3,1.7,0.017,0.022,0.072,0.044,0.027,1.0,0.0,1.0,1.0,3.3,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,18.0,0.18,0.0,0.0,0.6,0.03,0.007,0.054,0.0,246.0,1 cup,,,0.0
77,APPLESAUCE CANNED UNSWEETENED VITAMIN C,88.22,42,0.17,0.1,0.24,11.27,1.1,9.39,4.0,0.23,3.0,5.0,74.0,2.0,0.03,0.027,0.025,0.3,21.2,0.026,0.03,0.084,0.041,0.027,3.0,0.0,3.0,3.0,2.2,0.0,29.0,1.0,0.0,,,,,,0.16,0.0,0.0,0.5,0.008,0.002,0.014,0.0,244.0,1 cup,,,0.0
78,APRICOT,34.5,242,0.7,0.2,0.2,64.4,0.3,43.4,20.0,0.49,4.0,3.0,77.0,40.0,0.06,0.1,0.04,2.0,8.8,0.0,0.022,0.036,0.02,0.02,1.0,0.0,1.0,1.0,0.4,0.0,205.0,10.0,0.0,2.0,116.0,11.0,0.0,9.0,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,20.0,1 tbsp,14.0,"1 packet,  (0.5 oz)",0.0
79,APRICOT NECTAR CANNED VITAMIN C,84.87,56,0.37,0.09,0.29,14.39,0.6,13.79,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.0,0.6,0.009,0.014,0.26,0.096,0.022,1.0,0.0,1.0,1.0,1.0,0.0,1316.0,66.0,0.0,0.0,786.0,7.0,0.0,14.0,0.31,0.0,0.0,1.2,0.006,0.038,0.017,0.0,251.0,1 cup,31.4,1 fl oz,0.0
80,APRICOTS CANNED HEAVY SYRUP DRAINED,77.56,83,0.64,0.11,0.38,21.31,2.7,18.65,10.0,0.3,7.0,13.0,143.0,4.0,0.11,0.097,,0.1,3.1,0.021,0.024,0.376,,0.055,2.0,0.0,2.0,2.0,2.8,0.0,2924.0,146.0,0.0,0.0,1746.0,16.0,0.0,39.0,0.89,0.0,0.0,3.3,0.007,0.045,0.021,0.0,219.0,"1 cup,  halves",182.0,"1 cup, whole",0.0
81,APRICOTS CANNED JUICE PACK SKIN,86.62,48,0.63,0.04,0.37,12.34,1.6,10.74,12.0,0.3,10.0,20.0,165.0,4.0,0.11,0.054,0.052,0.1,4.9,0.018,0.019,0.344,0.092,0.054,2.0,0.0,2.0,2.0,1.8,0.0,1691.0,85.0,0.0,0.0,1010.0,10.0,0.0,26.0,0.6,0.0,0.0,2.2,0.003,0.017,0.007,0.0,244.0,"1 cup,  halves",36.0,"1 apricot, half with liquid",0.0
82,APRICOTS CANNED PACK SKIN,92.36,27,0.71,0.16,0.38,6.39,1.6,4.79,8.0,0.32,7.0,13.0,192.0,3.0,0.11,0.082,0.053,0.1,3.4,0.021,0.023,0.395,0.092,0.054,2.0,0.0,2.0,2.0,1.8,0.0,1959.0,98.0,0.0,0.0,1170.0,11.0,0.0,26.0,0.6,0.0,0.0,2.2,0.011,0.069,0.031,0.0,243.0,"1 cup,  halves",36.0,"1 apricot, half with liquid",0.0
83,APRICOTS DRIED SULFURED STEWED SUGAR,75.56,85,1.2,0.18,0.91,22.15,2.6,19.57,19.0,0.94,11.0,25.0,411.0,4.0,0.14,0.121,0.083,0.8,0.3,0.005,0.026,0.915,0.211,0.051,3.0,0.0,3.0,3.0,4.9,0.0,1275.0,64.0,0.0,0.0,765.0,0.0,0.0,0.0,1.53,0.0,0.0,1.1,0.006,0.026,0.026,0.0,250.0,"1 cup,  halves",,,0.0
84,APRICOTS DRIED SULFURED UNCOOKED,30.89,241,3.39,0.51,2.57,62.64,7.3,53.44,55.0,2.66,32.0,71.0,1162.0,10.0,0.39,0.343,0.235,2.2,1.0,0.015,0.074,2.589,0.516,0.143,10.0,0.0,10.0,10.0,13.9,0.0,3604.0,180.0,0.0,0.0,2163.0,0.0,0.0,0.0,4.33,0.0,0.0,3.1,0.017,0.074,0.074,0.0,130.0,"1 cup,  halves",3.5,1 half,0.0
85,APRICOTS FROZEN SWEETENED,73.3,98,0.7,0.1,0.8,25.1,2.2,,10.0,0.9,9.0,19.0,229.0,4.0,0.1,0.064,0.05,0.4,9.0,0.02,0.04,0.8,0.2,0.06,2.0,0.0,2.0,2.0,,0.0,1680.0,84.0,0.0,,,,,,,0.0,0.0,,0.007,0.044,0.02,0.0,242.0,1 cup,,,0.0
86,APRICOTS MOISTURE SULFURED STEWED,63.6,126,1.93,0.24,1.61,32.62,,,24.0,2.48,25.0,62.0,728.0,5.0,0.39,0.227,0.145,,7.1,0.013,0.067,1.63,0.468,0.161,2.0,0.0,2.0,2.0,,0.0,4407.0,220.0,0.0,,,,,,,0.0,0.0,,0.017,0.105,0.047,0.0,249.0,1 cup,,,0.0
87,APRICOTS MOISTURE SULFURED UNCOOKED,7.5,320,4.9,0.62,4.09,82.89,,,61.0,6.31,63.0,157.0,1850.0,13.0,1.0,0.576,0.369,,9.5,0.043,0.148,3.58,1.067,0.52,4.0,0.0,4.0,4.0,,0.0,12669.0,633.0,0.0,,,,,,,0.0,0.0,,0.043,0.268,0.121,0.0,119.0,1 cup,,,0.0
88,APRICOTS RAW,86.35,48,1.4,0.39,0.75,11.12,2.0,9.24,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1,10.0,0.03,0.04,0.6,0.24,0.054,9.0,0.0,9.0,9.0,2.8,0.0,1926.0,96.0,0.0,19.0,1094.0,104.0,0.0,89.0,0.89,0.0,0.0,3.3,0.027,0.17,0.077,0.0,155.0,"1 cup,  halves",165.0,"1 cup, sliced",7.0
89,ARBY ROAST BEEF SANDWICH CLASSIC,49.91,242,15.17,10.3,2.41,22.21,1.3,3.84,55.0,2.64,23.0,200.0,224.0,653.0,2.27,0.109,0.234,18.2,,0.217,0.287,4.343,,0.215,51.0,,,,,0.96,,,,,,,,,,,,,3.399,3.987,1.762,30.0,149.0,1 sandwich,,,0.0
90,ARCHWAY Home Style Cookies Molasses,11.43,403,4.25,12.06,2.85,69.41,1.2,36.35,29.0,4.68,,,117.0,577.0,,,,,0.0,0.3,0.23,2.71,,,69.0,,,,,,17.0,,,,,,,,,,,,2.81,4.86,1.05,25.0,26.0,1 serving,,,0.0
91,ARCHWAY Home Style Cookies Oatmeal,10.28,421,5.48,14.08,2.0,68.17,2.9,34.5,35.0,2.45,,,219.0,394.0,,,,,0.0,0.3,0.18,1.88,,,54.0,,,,,,15.0,,,,,,,,,,,,3.2,5.66,1.33,10.0,25.0,1 serving,,,0.0
92,ARROWHEAD COOKED BOILED DRAINED SALT,77.08,78,4.49,0.1,2.19,16.14,,,7.0,1.21,49.0,197.0,881.0,18.0,0.22,0.135,0.285,0.6,0.3,0.144,0.06,1.16,0.449,0.206,9.0,0.0,9.0,9.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,12.0,1 medium,,,0.0
93,ARROWHEAD RAW,72.48,99,5.33,0.29,1.67,20.23,,,10.0,2.57,51.0,174.0,922.0,22.0,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14.0,0.0,14.0,14.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,25.0,1 large,12.0,1 medium,25.0
94,ARROWROOT FLOUR,11.37,357,0.3,0.1,0.08,88.15,3.4,,40.0,0.33,3.0,5.0,11.0,2.0,0.07,0.04,0.47,,0.0,0.001,0.0,0.0,0.13,0.005,7.0,0.0,7.0,7.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.019,0.002,0.045,0.0,128.0,1 cup,,,0.0
95,ARROWROOT RAW,80.75,65,4.24,0.2,1.42,13.39,1.3,,6.0,2.22,25.0,98.0,454.0,26.0,0.63,0.121,0.174,0.7,1.9,0.143,0.059,1.693,0.292,0.266,338.0,0.0,338.0,338.0,,0.0,19.0,1.0,0.0,0.0,11.0,0.0,,,,0.0,0.0,,0.039,0.004,0.092,0.0,120.0,"1 cup, sliced",33.0,1 root,15.0
96,ARTIFICIAL BLUEBERRY MUFFIN MIX DRY,6.4,407,4.7,8.7,2.75,77.45,,,,,,,,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865,3.742,1.679,,31.0,1 muffin,,,0.0
97,ARUGULA RAW,91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160.0,1.46,47.0,52.0,369.0,27.0,0.47,0.076,0.321,0.3,15.0,0.044,0.086,0.305,0.437,0.073,97.0,0.0,97.0,97.0,15.3,0.0,2373.0,119.0,0.0,0.0,1424.0,0.0,0.0,3555.0,0.43,0.0,0.0,108.6,0.086,0.049,0.319,0.0,2.0,1 leaf,10.0,.5 cup,40.0
98,ASPARAGUS CANNED DRAINED SOLIDS,93.98,19,2.14,0.65,0.77,2.46,1.6,1.06,16.0,1.83,10.0,43.0,172.0,287.0,0.4,0.096,0.17,1.7,18.4,0.061,0.1,0.954,0.139,0.11,96.0,0.0,96.0,96.0,21.4,0.0,822.0,41.0,0.0,0.0,493.0,0.0,24.0,630.0,1.22,0.0,0.0,41.3,0.147,0.021,0.284,0.0,242.0,1 cup,18.0,"1 spear,  (about 5"" long)",0.0
99,ASPARAGUS CANNED REGULAR PACK,94.32,15,1.8,0.18,1.22,2.48,1.0,,15.0,0.6,9.0,38.0,172.0,284.0,0.47,0.107,0.152,1.6,16.5,0.054,0.089,0.851,0.124,0.098,85.0,0.0,85.0,85.0,,0.0,526.0,,0.0,,,,,,1.16,0.0,0.0,,0.044,0.006,0.085,0.0,122.0,.5 cup,411.0,"1 can,  (300 x 407)",0.0
100,ASPARAGUS CANNED SALT,94.32,15,1.8,0.18,1.22,2.48,1.0,1.0,15.0,0.6,9.0,38.0,172.0,26.0,0.47,0.107,0.152,1.6,16.5,0.054,0.089,0.851,0.124,0.098,85.0,0.0,85.0,85.0,,0.0,776.0,39.0,0.0,0.0,465.0,0.0,23.0,595.0,0.29,0.0,0.0,39.0,0.041,0.006,0.079,0.0,122.0,.5 cup,411.0,"1 can,  (300 x 407)",0.0
101,ASPARAGUS COOKED BOILED DRAINED,92.63,22,2.4,0.22,0.63,4.11,2.0,1.3,23.0,0.91,14.0,54.0,224.0,14.0,0.6,0.165,0.154,6.1,7.7,0.162,0.139,1.084,0.225,0.079,149.0,0.0,149.0,149.0,26.1,0.0,1006.0,50.0,0.0,0.0,604.0,0.0,30.0,771.0,1.5,0.0,0.0,50.6,0.048,0.0,0.105,0.0,90.0,.5 cup,60.0,"4 spears,  (1/2"" base)",0.0
102,ASPARAGUS COOKED BOILED DRAINED SALT,92.63,22,2.4,0.22,0.63,4.11,2.0,1.3,23.0,0.91,14.0,54.0,224.0,240.0,0.6,0.165,0.154,6.1,7.7,0.162,0.139,1.084,0.225,0.079,149.0,0.0,149.0,149.0,26.1,0.0,1006.0,50.0,0.0,0.0,604.0,0.0,30.0,771.0,1.5,0.0,0.0,50.6,0.048,0.0,0.105,0.0,90.0,.5 cup,60.0,"4 spears,  (1/2"" base)",0.0
103,ASPARAGUS FROZEN UNPREPARED,91.82,24,3.23,0.23,0.62,4.1,1.9,,25.0,0.73,14.0,64.0,253.0,8.0,0.59,0.137,0.203,1.7,31.8,0.121,0.131,1.202,0.184,0.111,191.0,0.0,191.0,191.0,,0.0,948.0,47.0,0.0,,,,,,,0.0,0.0,,0.052,0.007,0.101,0.0,58.0,4 spears,284.0,"1 package,  (10 oz)",0.0
104,ASPARAGUS RAW,93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52.0,0.0,52.0,52.0,16.0,0.0,756.0,38.0,0.0,9.0,449.0,0.0,0.0,710.0,1.13,0.0,0.0,41.6,0.04,0.0,0.05,0.0,134.0,1 cup,12.0,"1 spear,  small (5"" long or less)",47.0
105,AVOCADOS RAW CALIFORNIA,72.33,167,1.96,15.41,1.66,8.64,6.8,0.3,13.0,0.61,29.0,54.0,507.0,8.0,0.68,0.17,0.149,0.4,8.8,0.075,0.143,1.912,1.463,0.287,89.0,0.0,89.0,89.0,14.2,0.0,147.0,7.0,0.0,24.0,63.0,27.0,0.0,271.0,1.97,0.0,0.0,21.0,2.126,9.799,1.816,0.0,230.0,"1 cup, pureed",136.0,"1 fruit, without skin and seed",33.0
106,AVOCADOS RAW COMMERCIAL VARIETIES,73.23,160,2.0,14.66,1.58,8.53,6.7,0.66,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,0.142,0.4,10.0,0.067,0.13,1.738,1.389,0.257,81.0,0.0,81.0,81.0,14.2,0.0,146.0,7.0,0.0,24.0,62.0,28.0,0.0,271.0,2.07,0.0,0.0,21.0,2.126,9.799,1.816,0.0,150.0,"1 cup, cubes",230.0,"1 cup, pureed",26.0
107,AVOCADOS RAW FLORIDA,78.81,120,2.23,10.06,1.08,7.82,5.6,2.42,10.0,0.17,24.0,40.0,351.0,2.0,0.4,0.311,0.095,,17.4,0.021,0.053,0.672,0.931,0.078,35.0,0.0,35.0,35.0,,0.0,140.0,7.0,0.0,27.0,53.0,36.0,,,2.66,0.0,0.0,,1.96,5.513,1.676,0.0,230.0,"1 cup, pureed",304.0,"1 fruit, without skin and seeds",33.0
108,BABYFOOD APPLE BANANA JUICE,87.1,51,0.2,0.1,0.26,12.3,0.2,11.0,7.0,0.2,6.0,8.0,123.0,4.0,0.04,0.02,0.08,0.3,27.9,0.01,0.01,0.14,0.125,0.06,1.0,0.0,1.0,1.0,2.3,0.0,9.0,0.0,0.0,3.0,4.0,0.0,0.0,16.0,0.02,0.0,0.0,0.0,0.018,0.004,0.034,0.0,31.2,1 fl oz,131.0,"1 bottle,  Earth's Best (4.2 fl oz)",0.0
109,BABYFOOD APPLE CRANBERRY JUICE,88.3,46,0.0,0.02,0.19,11.49,0.0,6.88,6.0,0.22,3.0,7.0,97.0,5.0,0.05,0.01,0.16,0.1,27.9,0.0,0.02,0.07,,0.03,0.0,0.0,0.0,0.0,3.4,0.0,28.0,1.0,0.0,0.0,17.0,0.0,0.0,49.0,0.56,0.0,0.0,2.4,0.007,0.001,0.012,0.0,31.2,1 fl oz,,,0.0
110,BABYFOOD APPLE YOGURT DESSERTS STRAINED,77.9,96,0.8,1.6,0.2,19.5,0.5,12.02,6.0,0.0,15.0,31.0,70.0,20.0,0.28,0.05,,0.7,35.1,1.56,0.05,0.0,,0.02,9.0,0.0,9.0,9.0,5.4,0.5,24.0,3.0,2.0,0.0,7.0,5.0,0.0,7.0,0.02,0.0,0.0,0.2,1.034,0.438,0.044,6.0,15.0,1 tbsp,113.0,"1 jar,  NFS",0.0
111,BABYFOOD APPLES DICES TODDLER,87.5,51,0.2,0.1,0.13,12.1,0.9,10.83,10.0,0.2,6.0,13.0,50.0,6.0,0.04,0.02,0.04,0.3,31.3,0.01,0.02,0.08,0.039,0.05,1.0,0.0,1.0,1.0,3.4,0.0,31.0,2.0,0.0,0.0,14.0,10.0,0.0,19.0,0.23,0.0,0.0,0.6,0.02,0.004,0.03,0.0,28.35,1 oz,,,0.0
112,BABYFOOD APPLES HAM STRAINED,85.3,62,2.6,0.9,0.3,10.9,1.8,7.98,4.0,0.3,7.0,34.0,120.0,9.0,0.4,0.04,0.02,4.6,0.1,0.06,0.06,0.73,0.097,0.07,2.0,0.0,2.0,2.0,11.8,0.02,6.0,0.0,0.0,0.0,3.0,2.0,0.0,14.0,0.07,0.1,3.0,0.5,0.25,0.36,0.111,8.0,15.0,1 tbsp,113.0,"1 jar,  NFS",0.0
113,BABYFOOD BANANA APPLE DESSERTS STRAINED,83.1,68,0.3,0.2,0.29,16.3,1.0,14.66,3.0,0.1,8.0,9.0,71.0,7.0,0.05,0.03,,0.6,12.3,0.02,0.02,0.13,,0.06,4.0,0.0,4.0,4.0,2.1,0.0,30.0,2.0,0.0,8.0,12.0,3.0,0.0,10.0,0.02,0.0,0.0,0.1,0.058,0.018,0.047,0.0,15.0,1 tbsp,113.0,"1 jar,  NFS",0.0
114,BABYFOOD BANANA TAPIOCA STRAINED,76.7,91,1.0,0.2,0.76,21.34,1.6,11.36,4.0,0.3,26.0,20.0,290.0,2.0,0.05,0.04,,1.1,21.9,0.02,0.06,0.54,,0.26,17.0,0.0,17.0,17.0,4.1,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,20.0,0.25,0.0,0.0,0.5,0.072,0.028,0.041,0.0,15.0,1 tbsp,113.0,"1 jar,  NFS",0.0
115,BABYFOOD BOTTLED GERBER ADDED FLUORIDE,99.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1 serving,,,0.0
116,BABYFOOD CARROTS TODDLER,93.5,26,0.6,0.3,0.37,5.23,2.3,2.5,19.0,0.2,6.0,21.0,129.0,48.0,0.2,0.081,,0.8,0.7,0.02,0.03,0.25,,0.05,7.0,0.0,7.0,7.0,5.0,0.0,14710.0,736.0,0.0,3340.0,7156.0,0.0,1.0,167.0,0.59,0.0,0.0,7.9,0.052,0.012,0.148,0.0,28.35,1 oz,,,0.0
117,BABYFOOD CEREAL BARLEY DRY FORTIFIED,6.8,376,13.2,6.6,4.0,69.4,6.6,13.2,643.0,48.21,115.0,333.0,467.0,33.0,3.13,0.467,,30.2,0.0,0.892,1.07,14.28,4.92,0.714,179.0,156.0,23.0,287.0,45.4,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,5.0,7.1,286.0,2.3,0.894,1.45,3.859,0.0,2.4,1 tbsp,15.0,.5 oz,0.0
118,BABYFOOD CEREAL BARLEY PREPARED MILK,82.19,84,3.73,3.26,0.87,9.94,0.6,5.1,162.0,3.49,18.0,110.0,151.0,43.0,0.57,0.057,0.004,5.6,0.2,0.242,0.353,2.707,0.384,0.06,7.0,0.0,7.0,7.0,16.6,0.42,150.0,43.0,42.0,0.0,6.0,0.0,0.0,12.0,0.43,1.2,47.0,0.4,1.76,0.802,0.309,10.0,28.35,1 oz,,,0.0
119,BABYFOOD CEREAL EGG JUNIOR,85.9,79,2.5,5.0,0.4,6.2,0.9,,28.0,0.47,5.0,50.0,35.0,48.0,0.27,0.02,,,0.9,0.05,0.077,0.266,1.105,0.026,4.0,0.0,4.0,4.0,,0.09,94.0,28.0,28.0,,,,,,,,,,1.64,2.207,0.641,94.0,28.35,1 oz,170.0,1 jar,0.0
120,BABYFOOD CEREAL EGG YOLKS JUNIOR,88.7,52,1.9,1.8,0.4,7.1,0.9,,24.0,0.51,3.0,40.0,35.0,33.0,0.29,0.022,,,0.7,0.008,0.045,0.048,0.878,0.02,3.0,0.0,3.0,3.0,,0.06,144.0,41.0,40.0,,,,,,,,,,0.61,0.79,0.3,63.0,28.35,1 oz,170.0,1 jar,0.0
121,BABYFOOD CEREAL EGG YOLKS STRAINED,88.8,51,1.9,1.8,0.5,7.0,0.9,,24.0,0.47,3.0,40.0,39.0,33.0,0.29,0.022,,,0.7,0.009,0.044,0.049,0.878,0.021,3.0,0.0,3.0,3.0,,0.07,141.0,40.0,39.0,,,,,,,,,,0.61,0.79,0.3,63.0,28.35,1 oz,113.0,1 jar,0.0
122,BABYFOOD CEREAL EGGS STRAINED,87.2,58,2.2,1.5,0.6,8.0,,,27.0,0.54,3.0,46.0,44.0,38.0,0.33,0.025,,,0.8,0.01,0.05,0.056,1.003,0.024,9.0,0.0,9.0,9.0,,0.08,161.0,,,,,,,,,,,,0.49,0.61,0.33,51.0,28.35,1 oz,113.0,1 jar,0.0
123,BABYFOOD CEREAL HI PROTEIN DRY,5.3,374,25.4,6.5,5.2,57.6,7.1,,751.0,47.5,159.0,539.0,1330.0,104.0,2.7,0.964,,28.3,3.1,3.79,4.33,23.83,,0.351,190.0,0.0,190.0,190.0,,0.3,54.0,3.0,0.0,,,,,,,,,,0.96,1.231,3.429,0.0,2.4,1 tbsp,14.2,.5 oz,0.0
124,BABYFOOD CEREAL MIXED BANANAS DRY,4.5,391,10.7,4.6,3.1,77.1,7.8,6.68,696.0,47.5,90.0,367.0,668.0,0.0,1.4,0.256,,20.0,3.6,3.78,3.56,20.56,,0.408,17.0,0.0,17.0,17.0,28.6,0.24,125.0,6.0,0.0,49.0,51.0,0.0,0.0,96.0,0.51,0.0,0.0,3.5,0.846,1.223,1.734,0.0,2.5,1 tbsp,15.0,.5 oz,0.0
125,BABYFOOD CEREAL MIXED DRY FORTIFIED,6.7,399,6.66,6.66,1.77,78.21,6.7,26.66,800.0,30.0,100.0,333.0,467.0,33.0,10.66,0.334,,25.9,58.3,1.166,1.333,15.0,1.074,1.166,167.0,132.0,35.0,259.0,23.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,4.21,0.0,0.0,1.5,0.769,1.206,1.697,0.0,2.5,1 tbsp,15.0,.5 oz,0.0
126,BABYFOOD CEREAL MIXED PREPARED MILK,79.21,96,4.14,3.38,0.96,12.3,0.8,4.78,220.0,10.43,20.0,118.0,166.0,42.0,0.59,0.059,0.004,6.1,0.3,0.308,0.448,3.88,0.45,0.053,9.0,0.0,9.0,9.0,15.3,0.4,146.0,41.0,40.0,1.0,7.0,0.0,0.0,16.0,0.47,1.1,45.0,0.4,1.745,0.855,0.359,9.0,28.35,1 oz,,,0.0
